-182.907, 78.107, 1.664,  1.765
-182.888, 78.057, 1.631,  1.798
-182.869, 78.006, 1.611,  1.831
-182.850, 77.956, 1.608,  1.864
-182.831, 77.906, 1.623,  1.897
-182.812, 77.854, 1.656,  1.930
-182.793, 77.801, 1.703,  1.963
-182.773, 77.745, 1.760,  1.996
-182.754, 77.688, 1.825,  2.029
-182.734, 77.628, 1.894,  2.062
-182.713, 77.566, 1.963,  2.095
-182.693, 77.501, 2.024,  2.128
-182.673, 77.436, 2.052,  2.161
-182.653, 77.370, 2.055,  2.194
-182.634, 77.305, 2.040,  2.227
-182.615, 77.241, 2.012,  2.260
-182.596, 77.177, 1.974,  2.293
-182.579, 77.116, 1.930,  2.326
-182.562, 77.056, 1.860,  2.359
-182.545, 76.998, 1.806,  2.392
-182.529, 76.942, 1.760,  2.425
-182.514, 76.887, 1.726,  2.458
-182.498, 76.832, 1.706,  2.491
-182.483, 76.778, 1.703,  2.524
-182.468, 76.722, 1.718,  2.557
-182.453, 76.666, 1.751,  2.590
-182.437, 76.608, 1.798,  2.623
-182.422, 76.548, 1.856,  2.656
-182.406, 76.486, 1.923,  2.689
-182.390, 76.421, 1.996,  2.722
-182.374, 76.354, 2.070,  2.755
-182.357, 76.285, 2.132,  2.788
-182.341, 76.214, 2.156,  2.821
-182.326, 76.144, 2.152,  2.854
-182.310, 76.075, 2.132,  2.887
-182.295, 76.006, 2.099,  2.920
-182.281, 75.939, 2.058,  2.953
-182.267, 75.874, 1.992,  2.986
-182.254, 75.811, 1.938,  3.019
-182.242, 75.749, 1.895,  3.052
-182.229, 75.688, 1.862,  3.085
-182.217, 75.628, 1.844,  3.118
-182.205, 75.568, 1.843,  3.151
-182.193, 75.507, 1.860,  3.184
-182.181, 75.445, 1.893,  3.217
-182.169, 75.382, 1.941,  3.250
-182.157, 75.316, 1.999,  3.283
-182.145, 75.248, 2.066,  3.316
-182.133, 75.178, 2.136,  3.349
-182.120, 75.105, 2.201,  3.382
-182.108, 75.031, 2.251,  3.415
-182.096, 74.956, 2.268,  3.448
-182.084, 74.882, 2.259,  3.481
-182.072, 74.808, 2.233,  3.514
-182.061, 74.735, 2.195,  3.547
-182.050, 74.665, 2.135,  3.580
-182.040, 74.596, 2.081,  3.613
-182.030, 74.529, 2.040,  3.646
-182.021, 74.463, 2.009,  3.679
-182.011, 74.397, 1.993,  3.712
-182.002, 74.332, 1.993,  3.745
-181.993, 74.265, 2.011,  3.778
-181.984, 74.198, 2.046,  3.811
-181.975, 74.129, 2.093,  3.844
-181.966, 74.057, 2.151,  3.877
-181.956, 73.984, 2.213,  3.910
-181.947, 73.909, 2.273,  3.943
-181.938, 73.832, 2.321,  3.976
-181.929, 73.754, 2.337,  4.009
-181.920, 73.677, 2.327,  4.042
-181.912, 73.600, 2.300,  4.075
-181.903, 73.526, 2.250,  4.108
-181.895, 73.453, 2.203,  4.141
-181.888, 73.381, 2.164,  4.174
-181.881, 73.310, 2.138,  4.207
-181.873, 73.240, 2.124,  4.240
-181.866, 73.170, 2.126,  4.273
-181.859, 73.098, 2.147,  4.306
-181.852, 73.026, 2.183,  4.339
-181.845, 72.952, 2.231,  4.372
-181.838, 72.876, 2.285,  4.405
-181.832, 72.798, 2.340,  4.438
-181.825, 72.719, 2.392,  4.471
-181.818, 72.638, 2.434,  4.504
-181.811, 72.556, 2.446,  4.537
-181.804, 72.475, 2.433,  4.570
-181.798, 72.395, 2.402,  4.603
-181.792, 72.317, 2.349,  4.636
-181.786, 72.241, 2.298,  4.669
-181.781, 72.166, 2.256,  4.702
-181.775, 72.092, 2.227,  4.735
-181.770, 72.019, 2.213,  4.768
-181.765, 71.945, 2.215,  4.801
-181.760, 71.871, 2.236,  4.834
-181.755, 71.795, 2.273,  4.867
-181.750, 71.718, 2.322,  4.900
-181.744, 71.639, 2.376,  4.933
-181.739, 71.558, 2.430,  4.966
-181.734, 71.476, 2.483,  4.999
-181.729, 71.391, 2.533,  5.032
-181.724, 71.306, 2.572,  5.065
-181.720, 71.220, 2.582,  5.098
-181.715, 71.134, 2.566,  5.131
-181.710, 71.050, 2.532,  5.164
-181.706, 70.967, 2.476,  5.197
-181.702, 70.887, 2.422,  5.230
-181.698, 70.808, 2.377,  5.263
-181.694, 70.730, 2.344,  5.296
-181.690, 70.652, 2.329,  5.329
-181.687, 70.575, 2.333,  5.362
-181.683, 70.497, 2.355,  5.395
-181.680, 70.417, 2.392,  5.428
-181.676, 70.336, 2.438,  5.461
-181.672, 70.253, 2.489,  5.494
-181.669, 70.168, 2.541,  5.527
-181.665, 70.082, 2.593,  5.560
-181.662, 69.994, 2.643,  5.593
-181.659, 69.904, 2.690,  5.626
-181.655, 69.813, 2.727,  5.659
-181.652, 69.722, 2.734,  5.692
-181.649, 69.632, 2.715,  5.725
-181.645, 69.543, 2.672,  5.758
-181.643, 69.455, 2.626,  5.791
-181.640, 69.369, 2.584,  5.824
-181.637, 69.285, 2.552,  5.857
-181.634, 69.200, 2.536,  5.890
-181.632, 69.116, 2.539,  5.923
-181.629, 69.031, 2.558,  5.956
-181.627, 68.945, 2.590,  5.989
-181.624, 68.857, 2.628,  6.022
-181.622, 68.768, 2.671,  6.055
-181.619, 68.678, 2.716,  6.088
-181.617, 68.586, 2.761,  6.121
-181.615, 68.492, 2.804,  6.154
-181.612, 68.398, 2.845,  6.187
-181.610, 68.302, 2.877,  6.220
-181.608, 68.206, 2.879,  6.253
-181.605, 68.110, 2.856,  6.286
-181.603, 68.017, 2.809,  6.319
-181.601, 67.925, 2.759,  6.352
-181.599, 67.835, 2.713,  6.385
-181.598, 67.745, 2.678,  6.418
-181.596, 67.657, 2.658,  6.451
-181.594, 67.569, 2.656,  6.484
-181.592, 67.480, 2.673,  6.517
-181.591, 67.390, 2.703,  6.550
-181.589, 67.299, 2.742,  6.583
-181.587, 67.206, 2.786,  6.616
-181.586, 67.111, 2.833,  6.649
-181.584, 67.015, 2.880,  6.682
-181.583, 66.918, 2.926,  6.715
-181.581, 66.819, 2.970,  6.748
-181.579, 66.719, 3.011,  6.781
